,Compound,Negative,Neutral,Positive,Tweet,account,tweet ago
68,0.3612,0.884,0.0,0.116,"PM says there will be more money for priorities ""like the NHS and schools"" after #Brexit. But @theresa_may refuses… https://t.co/7YZcxhGRqT",BBC News (UK),69
69,0.0,1.0,0.0,0.0,Fortnite 'not addictive' says researcher https://t.co/kjkIH4tLec,BBC News (UK),70
70,0.6597,0.735,0.0,0.265,"""I think there are real opportunities for the United Kingdom"" - @theresa_may responds to @bbclaurak's question ""Do… https://t.co/OMyvDbZ06s",BBC News (UK),71
71,-0.3182,0.813,0.187,0.0,RT @BBCWorld: When a cheetah interrupts your safari (don't look around) 👀 https://t.co/T9cOUdpCl6,BBC News (UK),72
72,0.0,1.0,0.0,0.0,"""This will make you hungry (and maybe a little jealous) 🥊 https://t.co/29AFW8AgWI",BBC News (UK),73
73,-0.8658,0.452,0.548,0.0,Basingstoke crash: Two 18-year-olds found dead 'seven hours after crash' https://t.co/FST6sVGfWi,BBC News (UK),74
74,-0.7351,0.53,0.47,0.0,"Wareham lorry crash on pedestrian crossing kills boy, 3 https://t.co/bH7RHZr3rB",BBC News (UK),75
75,0.0,1.0,0.0,0.0,Maundy Thursday: Queen hands out coins to mark women's vote https://t.co/z6ETQvD3Zf,BBC News (UK),76
76,-0.5267,0.643,0.243,0.114,RT @BBCWorld: Police use tear gas to disperse crowds desperate for news of loved ones after at least 68 people died in fire at police stati…,BBC News (UK),77
77,0.2263,0.672,0.126,0.202,Royal wedding: Tough Windsor security measures to be introduced https://t.co/LOJos1DFiz,BBC News (UK),78
78,0.5719,0.829,0.0,0.171,"RT @BBCScotlandNews: Britain's two oldest men, born on the same day, have been celebrating their 110th birthdays 🎂🎈🎁🎉
https://t.co/AI4XCCtj…",BBC News (UK),79
79,-0.34,0.902,0.098,0.0,RT @BBCBreaking: French police arrest man in Grenoble after group of soldiers were almost hit by a car while jogging near their barracks ht…,BBC News (UK),80
80,0.5719,0.224,0.305,0.471,Hackney murder victim Abraham Badru was bravery award winner https://t.co/W1D0LaqE7Z,BBC News (UK),81
81,-0.0516,0.25,0.38,0.37,Man jailed for killing best friend in Aberdeen https://t.co/o16NfgMOby,BBC News (UK),82
82,-0.3182,0.892,0.108,0.0,"RT @BBCWorld: Owner reunited with camera lost at sea for two years (It still works by the way)

https://t.co/DKd10DtuwL https://t.co/McyZjx…",BBC News (UK),83
83,0.2732,0.656,0.0,0.344,Well done Felix 👏👏👏 https://t.co/wZIBevpMH8,BBC News (UK),84
84,0.0,1.0,0.0,0.0,"Balls, cherries or cakes.
 
What's the biggest #Brexit cliché of all? 

https://t.co/W77gVN8RvN https://t.co/KLIpCV1JVA",BBC News (UK),85
